"SURVEY_YEAR","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1995,6112179.30379000582130393459309117394028,0.3839766690816843098175314897445223641759,4599991.1298026175309853223681593279042,6270667.68787031445903884065127540989442,0.2467731101212617959257547296706061080702,3032967.04903041203439068382824886953078,12382846.9916603202803427752443665838347,0.2757373857961734111194787788696930074919,6692251.16206107702012651559842352872137
1996,14329741.11577842801809386473282841276001,0.3941058251219925340937747446606996453321,11068971.51458806267287530371249454521075,9820620.6681504674287631823172933095144,0.2931272021368704430631548549741494683566,5642234.47701684067940521593813949354646,24150361.7839288954468570470501217222743,0.3083572838194569941387940652714934770493,14596002.32738107907441310648113176995644
1997,5052312.28203816201940988799990647594555,0.5108294174263103435851904959861325397843,5058504.689791119847524842481996350138,21752127.66781425908663471098921070466906,0.4005073514759753377868808817584392102227,17075298.60075900343493051416797582891145,26804439.94985242110604459898911718061453,0.4163889120028880136360450986962862739346,21875700.31162895971506720706077846765544
1998,6299349.2201593542230773098984346051868,0.3184409105400022405132509703611002589852,3931702.18289491568108224487936131970646,31684773.6987114062674246578037337506406,0.2814104982485210847359590601431763922875,17476198.78875418572541833944221486636957,37984122.91887076049050196770216835582724,0.2575229460727295040940456734598754972313,19172295.14659031596989798495293932005885
1999,4069955.69025483710830679396489826626639,0.5041803747585784094760270496290478242291,4021903.89892044518774417132996009452661,15363981.99711682595279490938281452259442,0.3572119319147545982771413957474754229032,10756867.47454347758136129348697981599792,19433937.68737166306110170334771278886073,0.3104949167487173891436349621309275460467,11826912.17410684270325191482408725085942
2000,6252162.26713190890611578421276636806245,0.3105137988603973275283808339552294048257,3805110.0070511760823905447642046464053,21037730.89140120923906835307305360555433,0.3296052509203239252942455226227407785603,13590927.27573890916981545199705677084794,27289893.15853311814518413728581997361678,0.2907803550350588979126686929669677706168,15553315.05015388650554021738694637659393
2001,4322430.51355824264113986164501491238264,0.5054297452669949301017781030211613439843,4281982.50866797616104957630301692215083,20856273.07353795259047234723964556248489,0.31609193968065500929432363310872736995,12921299.62823509442356775186211234060535,25178703.58709619523161220888466047486745,0.2918188147662229004362251599076585723175,14401334.09874745510873551224934416899078
2002,17643555.16217681195585984932456858730051,0.4830756332780207339599179866061366503651,16705416.30315874028872533723613905226933,16953269.70444383031044443681479287542328,0.2929171194538889654297384179409113669208,9733169.73721511782457673087131345914436,34596824.86662064226630428613936146272373,0.3593999671576818875360273165059442849651,24370831.53281412052431132305689619347838
2003,13245682.5823474410765887427254274899154,0.2412915739473095043044594478690507768305,6264300.33267011109865924882887030051915,28258547.38618460524446694309548702658308,0.2383288459213108288463829292396580603757,13200260.8924856212125483404112739674543,41504229.96853204632105568582091451649832,0.2183540803696804708494036394402227765548,17762731.21381187251584229577581272550253
2004,19748763.35357485554916630251085657553434,0.6068110992573157187073126197534502040597,23488186.8471284877845047436974439341328,31680065.06918354701615292453741361073018,0.3036704224302418737862762140049841323678,18855785.5346659742507818223684317359852,51428828.4227584025653192270482701862644,0.3116763725723274604337135424712653240076,31417135.34936190574037127593289451496587
2005,23611443.15931574384556995587430329685536,0.4665492521425249646754341867385905015918,21591166.25004961456137585938253478123037,35606608.77219792878521032422523255607815,0.2187934315925696309578249479703356061645,15269364.55646082344882918374959970884703,59218051.93151367263078028009953585293351,0.2428997653589185120128226443805259736016,28192739.80158676762932639793938581426479
2006,16885848.09079418352305286179030205498991,0.3098542217289378331232802208562402899622,10255016.5840759609482531821802571473086,31042624.4113991673630680267386531854352,0.2004299853760352968398800312549845977623,12194870.60334856320049034812772611014148,47928472.502193350886120888528955240425,0.2114325298348038268967888232570311108468,19861930.85682287815449148519214861556909
2007,4451868.67259457770261161838735278183144,0.2703037271293054342191519269561646075737,2358579.12198931553261485893697633888073,35797466.8479332311273265441216294789535,0.2322386876123772512018244530927691327636,16294571.17239872935364712990188882145446,40249335.52052780882993816250898226078496,0.2222730241086971750582520755713583868416,17534829.38804610565900368788305326692768
2008,3668035.71017713575451923249303703127594,0.4229371658326381634140047903334472700853,3040643.30977304288335493539778780039268,36821563.94210576965910398153795305911403,0.3364568864742337824013447713149880438251,24282182.76778272932529306715433817516568,40489599.65228290541362321403099009038991,0.3252167795868525862273981405388838508884,25809078.52312572982260340029273641969579
2009,1718549.61193330852923477960084650701114,0.3336043931548801292238212041679008909462,1123698.77277530962332770522195014993088,35750272.27566297804289831384353584511935,0.3195540489203436378781994816240408651353,22391322.74115791183097962939067872077715,37468821.88759628657213309344438235213045,0.308507797945741043078396646163022439381,22656470.51504048879366112877142377786404
2010,1209988.27942736382723779971308993065195,0.4262193876624951539257214794451877929949,1010812.10853120110208168560886685369374,31490501.73652217601213232397477922961822,0.2813747801169187997839774321388274998299,17366840.6836953387400023022699722197996,32700490.01594953983937012368786916027023,0.2766829834152257383399534929972026546669,17733431.50803533388752297615779757057713
2011,32972288.25103792482853724991401299993529,0.9144131024763235901567805986292863524261,59094573.09493543566394740355466889893985,29311657.63845567428609348330958483666304,0.2635592422475246156042251000051484309987,15141702.22137207893604123453101986285207,62283945.88949359911463073322359783659828,0.4983485116859802007057514886197236004587,60836659.00248014835506313237903318124402
2012,7637245.72752805272249327196481103996145,0.5175636721110139629798391556302698580998,7747411.44936499987447281972105526515554,19593293.15715318159734700373487282105509,0.3431485589679848574734500502292043178465,13177884.21213620975943224690041959013398,27230538.88468123431984027569968386101649,0.3423708260771374064044270558666361870872,18272966.50124889512727124826084655322642
2013,1324012.80058430449941899917629371864065,0.2847297515035126171228241255608301996819,738892.2379677640969099855931624972800652,15582723.08125946284462597158364355183327,0.3624482200913231474768157000935214278627,11069943.28015780312909287339014972848327,16906735.88184376734404497075993727047381,0.3415186450205374253481863085258875304358,11316972.43897127332813317858803241301775
2014,2845740.78700459899817232497254131847032,0.6102248515421677707640299859032415131556,3403621.82858365127332855134168445041224,36897048.6846109712120110903644692138312,0.234799630437927416346081975201214591239,16980290.25497786899410555567295313090213,39742789.47161557021018341533701053230156,0.2299526859975287172901043906194549847339,17912363.92854331870314651073519217110446
2015,2445272.78872094143812146735712901054626,0.6351530664349502636264828773247603973584,3044120.11965105450516738992520195853695,18447761.1950405320090592164856796427032,0.2920275616433743697030828721240406221115,10559019.25035121923647876462057245613112,20893033.98376147344718068384280865324953,0.3030183981162414159475059093419026671457,12408708.43151328728152020369677461461825
2016,3643453.86850649619163593002392342808962,0.7605886615517795143256166163099974990333,5431492.61449509805989133882594023671067,22429266.39044966204594525558117487344009,0.2644760410553124114387856438553231067731,11626727.01429336313157414956714645776208,26072720.25895615823758118560509830152981,0.2533652398971775784699725482671787147375,12947605.20543756073894604071739666376727
2017,2460278.87743812028891524946805692246317,0.2733555149087441680687754605182642740741,1318160.36674796073467128617694410724027,17549787.66091169146673001238578908615615,0.2492810372756900291303571295768580606662,8574665.37327713768000891624252345412652,20010066.53834981175564526185384600861935,0.239428857821400703859311027386700752826,9390335.25736635667403532238799341114028
2018,1426538.71687512556883848023649730307576,0.3162054595926597184011652414115017130761,884115.487968595434401207329264069386778,8991702.34063435077552464699417881699795,0.2280376716232092685847762101128772564349,4018875.85674694777487341911374420262079,10418241.05750947634436312723067612007371,0.2215045656850007513174143321631407420768,4523068.40286474780595830365622565683473
2019,1205592.23345522104471170497036614653283,0.2848095468156159586794927980587572959809,672993.7882034232533866300961768921151097,8403451.55115674874806426015103026117904,0.1874294122677590418491816614270219741169,3087105.81109763904756053487328148387902,9609043.7846119697927759651213964077119,0.177416177340693303382536621113097637745,3341407.63968379979766532819959351763431
2021,1385067.63156217418496859691464607937514,0.3230342470886561377610931386267217980204,876951.5878759680318216980035933639659648,6318182.89859991701782130472514196720612,0.2365908313512586235265236553355828615886,2929855.32343375629057968855658390475391,7703250.53016209120278990163978804658136,0.2140606929015120502277411840619398397202,3231967.76631765709604533230020771141757
2022,2460631.92740647629920180906050114247485,0.3283079684436980544972982473301058297215,1583376.33558206183199638153269349591239,7506394.67790261030607156454837344579808,0.28411133200491385343832496934970352347,4179997.50936727353111941753193659149489,9967026.60530908660527337360887458827294,0.2450346634898069796428517156788311772909,4786843.34004269587966563412588533603508
2023,2126857.11280146741287214512703969126025,0.3103461358177779087162098299168866903754,1293721.29733320274368626702114006722877,10995395.26011674296401622597601271696687,0.3920412956992644079617070342187034800425,8448872.04882336790654448509093142511153,13122252.37291821037688837110305240822707,0.3360893860749396600415270698609334808355,8644089.49811162291176199348531935581511
