"SURVEY_YEAR","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1995,6112179.30379000582130393459309117394029,0.361658939942429908961843171750204042532,4332627.60398363542717312822376135009731,6928652.34345757811149397210467438974598,0.1806730190423530249494274279541142449111,2453568.25210321564594459223914378052743,13040831.64724758393279790669776556368622,0.2227045054217554014519612150623600211293,5692333.84608575199855003074143883332501
1996,14329741.11577842801809386473282841275993,0.3803903360138203749786512665195395926927,10683754.27452314652060632375677173170554,11209124.3378145092072935401970584969387,0.2419518613479053821972503273520585298062,5315654.25532408261020632171405979219609,25538865.45359293722538740492988690969862,0.2704581752860529282778677954940611203564,13538102.1009313300758146514330785775044
1997,5052312.28203816201940988799990647594551,0.4940214090084135486154163404207454829164,4892062.84735309189250452868030545295608,22864477.07684046894513514394462980608011,0.3586162484006891586516618122963269189912,16071163.06224256611116482514901554248196,27916789.35887863096454503194453628202563,0.3780179999036426054809325205842743574095,20683975.79926220273863257308506371356992
1998,6299349.22015935422307730989843460518676,0.3019911410913747250512647726006018490998,3728601.41189281037782272118206463708452,31684773.69871140626742465780373375064066,0.2322633416914494536255716092627901556068,14424054.3832001138303403770940542457503,37984122.9188707604905019677021683558273,0.2109618708443806995034191665285920623413,15705875.20136187263525038732460043971333
1999,4010103.40069226597436110581835564470366,0.492011503216763537521191228826486623534,3867113.3243693441541027240902648288361,15138041.0853945196887832195389496031445,0.3192872363337140805927927739833097209019,9473431.27125719390258435745238420641279,19148144.48608678566314432535730524784817,0.2680255542701936997283249304030947260708,10059096.39669316148130078452516653366079
2000,6206190.48575593898768846227002543888551,0.292346651928628848714982829130511897479,3556143.6590944366045247608842554950101,21224125.29019640241822287440391743691603,0.2907167301351286962308986198929828246154,12093608.27651460759387484511149015070852,27430315.7759523414059113366739428758015,0.2536077093217261464130249459895042230739,13634817.51782532555779198568116657344904
2001,4322430.51355824264113986164501491238263,0.5007009686177277504781070073207347934621,4241920.48404601160537030007832317942848,21935664.74415183055190198865779688934787,0.272181338679741735708035820367352226691,11702138.04599078909405597722577140351905,26258095.25771007319304185030281180173037,0.2521893654276297192864794065822647421496,12979144.26554510696874952509835247601465
2002,17513823.13892551186794911513835852415864,0.4669836313292483799896429416204371623104,16030190.70663235569842784395628145971609,17793034.93621807738604376173760910067906,0.2390323989823278234222440557003947582647,8336099.17892193164423305976938769847282,35306858.07514358925399287687596762483756,0.3212534448104612525619936851322076809795,22231201.57286490135347299362287324097217
2003,13245682.58234744107658874272542748991538,0.2146062986298385423915397364401293886876,5571509.5471736795441384631608138385883,30299813.83845539916947425251252081791137,0.1805889054924176083602632494278650668651,10724748.02671291181123549309625138625474,43545496.42080284024606299523794830782665,0.166151127029069703103395946727512571864,14180861.28241915709608902463937977858804
2004,21055690.45619605089350746226984396739269,0.5667406831318062757157799314690633973094,23388908.13019455106961155759463666191035,33598445.82849379674124591763235702885714,0.2682415454762665017132633933869197680556,17664498.10788615882431311272476683593155,54654136.2846898476347533799022009962497,0.279326772487908922809449159588567725154,29922072.44337278868855344594447220766901
